State,Wiki_name_long,Wiki_name,Station Identifier,Channel Number,AM/FM,Dataset,Link
Georgia,"Augusta, Georgia",Augusta,WACG,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Brunswick, Georgia",Brunswick,WWIO,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Carrollton, Georgia",Carrollton,WUWG,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Chatsworth, Georgia",Chatsworth,WNGH,98.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Columbus, Georgia",Columbus,WTJB,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Dahlonega, Georgia",Dahlonega,WNGU,89.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Demorest, Georgia",Demorest,WPPR,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Folkston, Georgia",Folkston,WATY,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Fort Gaines, Georgia",Fort Gaines,WJWV,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Macon, Georgia",Macon,WMUM,89.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Rome, Georgia",Rome,WGPB,97.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Savannah, Georgia",Savannah,WSVH,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Thomasville, Georgia",Thomasville,WFSL,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Tifton, Georgia",Tifton,WABR,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Valdosta, Georgia",Valdosta,WWET,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Warm Springs, Georgia",Warm Springs,WJSP,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Waycross, Georgia",Waycross,WXVS,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Hawaii,"Hilo, Hawaii",Hilo,KANO,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Hawaii,"Honolulu, Hawaii",Honolulu,KHPR,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
