Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
875,Nebraska,,Lincoln,KZUM,FM,89.3,@kzumradio,,Twitter,right_only,Emptyatload
375,Nevada,Elko,Elko,KNCC,FM,91.5,@renopublicradio,,Twitter,both,Emptyatload
377,Nevada,Las Vegas,Las Vegas,KUNV,FM,91.5,@kunvradio,,Twitter,both,Emptyatload
378,Nevada,Las Vegas,Lund,KWPR,FM,88.7,None,,Twitter,both,Emptyatload
379,Nevada,Panaca,Panaca,KLNR,FM,91.7,None,,Twitter,both,Emptyatload
380,Nevada,Reno,Reno,KUNR,FM,88.7,@renopublicradio,,Twitter,both,Emptyatload
381,Nevada,Tonopah,Tonopah,KTPH,FM,91.7,None,,Twitter,both,Emptyatload
376,Nevada,Las Vegas,,KNPR,FM,89.5,@knprnews,,Twitter,left_only,Emptyatload
876,Nevada,,Jackpot,KBSJ,FM,91.3,None,,Twitter,right_only,Emptyatload
877,Nevada,,Las Vegas,KCNV,FM,89.7,@knprnews,,Twitter,right_only,Emptyatload
878,Nevada,,Las Vegas,KNPR,FM,88.9,@knprnews,,Twitter,right_only,Emptyatload
879,Nevada,,Reno,KVNV,FM,89.1,None,,Twitter,right_only,Emptyatload
382,New Hampshire,Concord,Concord,WEVO,FM,89.1,@nhpr,,Twitter,both,Emptyatload
383,New Hampshire,Gorham,Gorham,WEVC,FM,107.1,None,,Twitter,both,Emptyatload
384,New Hampshire,Hanover,Hanover,WEVH,FM,91.3,None,,Twitter,both,Emptyatload
385,New Hampshire,Keene,Keene,WEVN,FM,90.7,@nhpr,,Twitter,both,Emptyatload
880,New Hampshire,,Jackson,WEVJ,FM,99.5,@nhpr,,Twitter,right_only,Emptyatload
881,New Hampshire,,Nashua,WEVS,FM,88.3,None,,Twitter,right_only,Emptyatload
386,New Jersey,Atlantic City,Atlantic City,WNJN,FM,89.7,@njtvnews,,Twitter,both,Emptyatload
387,New Jersey,Berlin,Berlin,WNJS,FM,88.1,None,,Twitter,both,Emptyatload
388,New Jersey,Bridgeton,Bridgeton,WNJB,FM,89.3,None,,Twitter,both,Emptyatload
389,New Jersey,Cape May,Cape May,WNJZ,FM,90.3,None,,Twitter,both,Emptyatload
391,New Jersey,Lincroft,Lincroft,WBJB,FM,90.5,@wbjb,,Twitter,both,Emptyatload
392,New Jersey,Manahawkin,Manahawkin,WNJM,FM,89.9,None,,Twitter,both,Emptyatload
393,New Jersey,Newark,Newark,WBGO,FM,88.3,@wbgo,,Twitter,both,Emptyatload
395,New Jersey,Sussex,Sussex,WNJP,FM,88.5,None,,Twitter,both,Emptyatload
396,New Jersey,Trenton,Trenton,WNJT,FM,88.1,None,,Twitter,both,Emptyatload
390,New Jersey,Hackettstown,,WNTI,FM,91.9,@centenary_nj,,Twitter,left_only,Emptyatload
394,New Jersey,Atlantic City,,WRTQ,FM,91.3,@wrtimusic,,Twitter,left_only,Emptyatload
882,New Jersey,,Hackettstown,WXPJ,FM,91.9,None,,Twitter,right_only,Emptyatload
883,New Jersey,,"Ocean City/Atlantic City, New Jersey",WNJN,FM,91.3,None,,Twitter,right_only,Emptyatload
397,New Mexico,Albuquerque,Albuquerque,KANW,FM,89.1,@kanwfm,,Twitter,both,Emptyatload
398,New Mexico,Albuquerque,Albuquerque,KUNM,FM,89.9,@kunmnews,,Twitter,both,Emptyatload
399,New Mexico,Gallup,Gallup,KGLP,FM,91.7,@KGLPradio,,Twitter,both,Emptyatload
400,New Mexico,Las Cruces,Las Cruces,KRWG,FM,90.7,@krwg,,Twitter,both,Emptyatload
402,New Mexico,Maljamar,Maljamar,KMTH,FM,98.7,@KENWpublicmedia,,Twitter,both,Emptyatload
403,New Mexico,Portales,Portales,KENW,FM,89.5,@KENWpublicmedia,,Twitter,both,Emptyatload
404,New Mexico,Ramah,Ramah,KTDB,FM,89.7,None,,Twitter,both,Emptyatload
401,New Mexico,Magdalena,,KABR,AM,1500,@kabrradio,,Twitter,left_only,Emptyatload
884,New Mexico,,Dulce,KCIE,FM,90.5,None,,Twitter,right_only,Emptyatload
885,New Mexico,,Magdalena,KOAZ,AM,1500,None,,Twitter,right_only,Emptyatload
886,New Mexico,,Santa Rosa,KANR,FM,91.9,None,,Twitter,right_only,Emptyatload
405,New York,Albany,Albany,WAMC,FM,90.3,@WAMCradio,,Twitter,both,Emptyatload
406,New York,Binghamton,Binghamton,WSKG,FM,89.3,@WSKG,,Twitter,both,Emptyatload
407,New York,Binghamton,Binghamton,WSQX,FM,91.5,@WSKG,,Twitter,both,Emptyatload
408,New York,Blue Mountain Lake,Blue Mtn. Lake,WXLH,FM,91.3,None,,Twitter,both,Emptyatload
409,New York,Brooklyn,Brooklyn,WNYE,FM,91.5,None,,Twitter,both,Emptyatload
