,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
225,California,Fullerton,33.8703645,-117.9242123,0.0,1.0,0.0,0.0,0.0,1.0
226,California,Fullerton,33.8703645,-117.9242123,2.0,1.0,0.0,1.0,1.0,5.0
227,California,Fullerton,33.8703645,-117.9242123,2.0,1.0,0.0,1.0,0.0,4.0
228,California,Fullerton,33.8703645,-117.9242123,2.0,1.0,0.0,0.0,1.0,4.0
229,California,Fullerton,33.8703645,-117.9242123,2.0,1.0,0.0,0.0,0.0,3.0
230,California,Galt,38.2546373,-121.2999485,0.0,1.0,2.0,2.0,0.0,5.0
231,California,Garden Grove,33.7742692,-117.9379952,1.0,4.0,0.0,2.0,2.0,9.0
232,California,Gardena,33.8883487,-118.3089624,1.0,0.0,1.0,0.0,0.0,2.0
233,California,Gilroy,37.0057816,-121.5682751,1.0,0.0,0.0,0.0,0.0,1.0
234,California,Glendale,34.1425078,-118.255075,1.0,1.0,2.0,1.0,2.0,7.0
235,California,Glendora,34.1361187,-117.865339,0.0,1.0,0.0,1.0,0.0,2.0
236,California,Goleta,34.4358294,-119.8276389,0.0,0.0,2.0,1.0,0.0,3.0
237,California,Grass Valley,39.2190608,-121.0610606,0.0,0.0,1.0,0.0,0.0,1.0
238,California,Greenfield,36.3207998,-121.2438138,1.0,0.0,0.0,0.0,0.0,1.0
239,California,Gridley,39.3637773,-121.6935833,0.0,1.0,0.0,1.0,0.0,2.0
240,California,Grover Beach,35.1216424,-120.6212821,0.0,0.0,1.0,0.0,0.0,1.0
241,California,Hanford,36.3274502,-119.6456844,1.0,1.0,0.0,3.0,1.0,6.0
242,California,Hawaiian Gardens,33.8314045,-118.0728424,2.0,4.0,1.0,2.0,0.0,9.0
243,California,Hawthorne,33.9164032,-118.3525748,2.0,0.0,0.0,3.0,1.0,6.0
244,California,Hayward,37.6688205,-122.0807964,3.0,1.0,2.0,4.0,2.0,12.0
245,California,Healdsburg,38.6104658,-122.8691609,0.0,1.0,1.0,0.0,0.0,2.0
246,California,Hemet,33.7475203,-116.9719684,2.0,0.0,1.0,2.0,0.0,5.0
