,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,_merge,Twitter Handle,Alternate,Twitter
234,Kentucky,Booneville,,WOCS,FM,88.3,left_only,None,,Twitter
235,Kentucky,Bowling Green,Bowling Green,WKYU,FM,88.9,both,@wkupublicradio,,Twitter
236,Kentucky,Elizabethtown,Elizabethtown,WKUE,FM,90.9,both,@wkupublicradio,,Twitter
237,Kentucky,Georgetown,,WRVG,FM,89.9,left_only,@wrvg,,Twitter
238,Kentucky,Hazard,Hazard,WEKH,FM,90.9,both,None,,Twitter
239,Kentucky,Henderson,Henderson,WKPB,FM,89.5,both,@wkupublicradio,,Twitter
240,Kentucky,Highland Heights,,WNKU,FM,89.7,left_only,@wnku,,Twitter
241,Kentucky,Lexington,Lexington,WUKY,FM,91.3,both,@wuky,,Twitter
242,Kentucky,Louisville,Louisville,WFPK,FM,91.9,both,@wfpk,,Twitter
243,Kentucky,Louisville,Louisville,WFPL,FM,89.3,both,@wfplnews,,Twitter
244,Kentucky,Morehead,Morehead,WMKY,FM,90.3,both,@mspr903fm,,Twitter
245,Kentucky,Murray,Murray,WKMS,FM,91.3,both,@wkms,,Twitter
246,Kentucky,Richmond,Richmond,WEKU,FM,88.9,both,@889weku,,Twitter
247,Kentucky,Somerset,Somerset,WDCL,FM,89.7,both,@wkupublicradio,,Twitter
248,Louisana,Alexandria,,KLSA,FM,90.7,left_only,@rrrpublicradio,,Twitter
249,Louisana,Baton Rouge,,WBRH,FM,90.3,left_only,@talk1073,,Twitter
250,Louisana,Baton Rouge,,WRKF,FM,89.3,left_only,@wrkf,,Twitter
251,Louisana,Lafayette,,KRVS,FM,88.7,left_only,@krvsmedia,,Twitter
252,Louisana,Monroe,,KEDM,FM,90.3,left_only,@kedmpublicradio,,Twitter
253,Louisana,New Orleans,,WWNO,FM,89.9,left_only,@wwno,,Twitter
254,Louisana,Shreveport,,KDAQ,FM,89.9,left_only,@rrrpublicradio,,Twitter
255,Louisana,Thibodaux,,KTLN,FM,90.5,left_only,@wwno,,Twitter
256,Maine,Bangor,Bangor,WMEH,FM,90.9,both,@MainePublic,,Twitter
257,Maine,Calais,Calais,WMED,FM,89.7,both,@MainePublic,,Twitter
258,Maine,Fort Kent,Fort Kent,WMEF,FM,106.5,both,None,,Twitter
259,Maine,Lewiston,Portland,WMEA,FM,90.1,both,@MPBNnews,,Twitter
260,Maine,Presque Isle,Presque Isle,WMEM,FM,106.1,both,@mainepublic,,Twitter
261,Maine,Waterville,Waterville,WMEW,FM,91.3,both,@mainepublic,,Twitter
262,Maryland,Baltimore,Baltimore,WEAA,FM,88.9,both,None,,Twitter
263,Maryland,Baltimore,Baltimore,WYPR,FM,88.1,both,@wypr881FM,,Twitter
264,Maryland,Frostburg,Frostburg,WFWM,FM,91.9,both,@xfsrfrostburg,,Twitter
265,Maryland,Hagerstown,,WETH,FM,89.1,left_only,None,,Twitter
266,Maryland,Ocean City,Ocean City,WSDL,FM,90.7,both,@wscl_wsdl,,Twitter
267,Maryland,Princess Anne,Princess Anne,WESM,FM,91.3,both,None,,Twitter
268,Maryland,Salisbury,Salisbury,WSCL,FM,89.5,both,@wscl_wsdl,,Twitter
269,Maryland,Worton,Worton,WKHS,FM,90.5,both,@wkhsradio,,Twitter
270,Massachusetts,Amherst,Amherst,WFCR,FM,88.5,both,@wfcr885,,Twitter
271,Massachusetts,Amherst,,WPNI,AM,1430.0,left_only,None,,Twitter
272,Massachusetts,Boston,Boston,WBUR,FM,90.9,both,@WBUR,,Twitter
273,Massachusetts,Boston,Boston,WGBH,FM,89.7,both,@wgbh,,Twitter
274,Massachusetts,Boston,Boston,WUMB,FM,91.9,both,@wumbradio,,Twitter
275,Massachusetts,Falmouth,Falmouth,WFPB,FM,91.9,both,@wumbradio,,Twitter
276,Massachusetts,Great Barrington,Great Barrington,WAMQ,FM,105.1,both,@wamcradio,,Twitter
277,Massachusetts,Harwich,Harwich,WCCT,FM,90.3,both,None,,Twitter
278,Massachusetts,Nantucket,Nantucket,WNAN,FM,91.1,both,None,,Twitter
279,Massachusetts,Newburyport,,WNAF,FM,91.7,left_only,@wumbradio,,Twitter
280,Massachusetts,Orleans,Orleans,WFPB,AM,1170.0,both,@wumbradio,,Twitter
281,Massachusetts,Sandwich,Sandwich,WSDH,FM,91.5,both,@WSDHradio,,Twitter
282,Massachusetts,W.Yarmouth,,WBUR,AM,1240.0,left_only,@wbur,,Twitter
283,Massachusetts,Woods Hole,Woods Hole,WCAI,FM,90.1,both,@wcai_npr,,Twitter
284,Massachusetts,Worcester,Worcester,WBPR,FM,91.9,both,@wumbradio,,Twitter
285,Massachusetts,Worcester,Worcester,WICN,FM,90.5,both,@WICN905,,Twitter
286,Michigan,Allendale,Allendale,WGVU,FM,88.5,both,@WGVUPublicMedia,,Twitter
287,Michigan,Alpena,Alpena,WCML,FM,91.7,both,@wcmunews,,Twitter
288,Michigan,Ann Arbor,Ann Arbor,WUOM,FM,91.7,both,@MichiganRadio,,Twitter
289,Michigan,Bay City,Bay City,WUCX,FM,90.1,both,@wucx,,Twitter
290,Michigan,Detroit,Detroit,WDET,FM,101.9,both,@wdet,,Twitter
291,Michigan,East Jordan,,WIZY,FM,100.9,left_only,None,,Twitter
292,Michigan,East Lansing,East Lansing,WKAR,AM,870.0,both,@wkar,,Twitter
293,Michigan,East Lansing,East Lansing,WKAR,FM,90.5,both,@wkar,,Twitter
294,Michigan,Flint,Flint,WFUM,FM,91.1,both,@michiganradio,,Twitter
295,Michigan,Grand Rapids,Grand Rapids,WBLU,FM,88.9,both,None,,Twitter
296,Michigan,Grand Rapids,Grand Rapids,WVGR,FM,104.1,both,@michiganradio,,Twitter
297,Michigan,Harbor Springs,Harbor Springs,WCMW,FM,103.9,both,@wcmunews,,Twitter
298,Michigan,Houghton,,WGGL,FM,91.9,left_only,None,,Twitter
299,Michigan,Interlochen,Interlochen,WIAA,FM,88.7,both,@IPRNewsRadio,,Twitter
300,Michigan,Kalamazoo,Kalamazoo,WMUK,FM,102.1,both,@wmuk1021,,Twitter
301,Michigan,Kentwood,Kentwood,WGVU,AM,1480.0,both,@WGVUPublicMedia,,Twitter
302,Michigan,Lansing,,WLNZ,FM,89.7,left_only,@LCCRadio,,Twitter
303,Michigan,Manistee,,WVXM,FM,97.7,left_only,None,,Twitter
304,Michigan,Marquette,Marquette,WNMU,FM,90.1,both,@WNMU,,Twitter
305,Michigan,Mt. Pleasant,Mt. Pleasant,WCMU,FM,89.5,both,@WCMUNews,@WCMUTV,Twitter
306,Michigan,Muskegon,Muskegon,WGVS,AM,850.0,both,None,,Twitter
307,Michigan,Oscoda,Oscoda,WCMB,FM,95.7,both,None,,Twitter
308,Michigan,Rogers City,,WVXA,FM,96.7,left_only,None,,Twitter
