State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,,Davis,1,0,0,0,0,0,1,0,0,0,"35,186"
California,,Los Angeles,2,1,1,0,0,0,2,0,1,1,"41,908"
California,,Riverside,0,1,0,0,0,0,1,0,0,0,"21,385"
California,,San Diego,2,0,1,0,0,0,0,2,0,1,"32,906"
California,,San Francisco,0,1,0,0,0,0,0,0,0,1,"3,107"
California,,Santa Cruz,0,0,1,0,0,0,0,0,0,1,"17,868"
California,,Ventura County Community College District,0,0,1,0,0,0,0,0,0,1,"34,022"
California,Metropolitan Counties,,58,9,20,0,0,2,,,,,
California,,Butte,0,0,1,0,0,0,0,0,1,0,
California,,El Dorado,0,1,0,0,0,0,1,0,0,0,
California,,Fresno,0,0,1,0,0,0,0,1,0,0,
California,,Los Angeles,17,3,6,0,0,0,5,4,6,11,
California,,Orange,2,0,0,0,0,0,2,0,0,0,
California,,Riverside,3,0,1,0,0,1,0,1,3,1,
California,,Sacramento,8,1,1,0,0,0,5,3,1,1,
California,,San Bernardino,3,2,1,0,0,1,4,3,0,0,
California,,San Diego,13,1,4,0,0,0,1,7,8,2,
California,,San Mateo,1,1,1,0,0,0,1,1,1,0,
California,,Santa Barbara,1,0,0,0,0,0,0,0,0,1,
California,,Santa Clara,2,0,0,0,0,0,1,0,1,0,
California,,Shasta,2,0,0,0,0,0,1,1,0,0,
California,,Solano,1,0,0,0,0,0,0,0,1,0,
California,,Sonoma,1,0,3,0,0,0,0,1,3,0,
California,,Sutter,1,0,0,0,0,0,0,0,0,1,
California,,Ventura,2,0,0,0,0,0,0,1,1,0,
California,,Yuba,1,0,1,0,0,0,0,0,0,2,
California,Nonmetropolitan Counties,,3,3,0,0,0,0,,,,,
California,,Amador,0,1,0,0,0,0,0,0,1,0,
California,,Humboldt,0,1,0,0,0,0,0,0,0,1,
California,,Lake,1,0,0,0,0,0,0,1,0,0,
California,,Mendocino,2,0,0,0,0,0,1,0,0,1,
California,,Tuolumne,0,1,0,0,0,0,0,0,1,0,
California,Other Agencies,,18,2,6,0,0,1,,,,,
California,,California State Fair,1,0,0,0,0,0,0,0,1,0,
California,,"East Bay Regional Parks, Alameda County",0,1,0,0,0,0,0,0,0,1,
California,,Fontana Unified School District,0,0,1,0,0,0,0,0,0,1,
California,,Los Angeles Transportation Services Bureau,10,0,4,0,0,1,7,2,3,3,
California,,Port of San Diego Harbor,2,1,0,0,0,0,2,0,1,0,
California,,San Francisco Bay Area Rapid Transit: ,,,,,,,,,,,
California,,Alameda County,2,0,0,0,0,0,1,0,0,1,
California,,Contra Costa County,2,0,0,0,0,0,1,0,0,1,
California,,Santa Clara Transit District,1,0,1,0,0,0,0,0,1,1,
Colorado,Total,,67,19,23,0,0,0,,,,,
Colorado,Cities,,47,7,17,0,0,0,,,,,
Colorado,,Aspen,0,1,0,0,0,0,0,0,0,1,"6,926"
Colorado,,Aurora,15,0,3,0,0,0,1,3,6,8,"366,477"
Colorado,,Boulder,2,1,1,0,0,0,1,1,2,0,"109,189"
Colorado,,Breckenridge,0,0,1,0,0,0,0,0,1,0,"4,971"
Colorado,,Carbondale,1,0,0,0,0,0,0,1,0,0,"6,728"
Colorado,,Centennial,2,0,0,0,0,0,0,0,2,0,"111,479"
Colorado,,Colorado Springs,1,1,4,0,0,0,0,2,1,3,"464,113"
Colorado,,Delta,0,0,1,0,0,0,1,0,0,0,"8,778"
Colorado,,Denver,10,3,6,0,0,0,4,2,1,12,"699,259"
Colorado,,Dillon,0,1,0,0,0,0,0,0,0,1,972
Colorado,,Erie,1,0,0,0,0,0,0,0,1,0,"22,115"
Colorado,,Florence,1,0,0,0,0,0,0,0,1,0,"3,861"
Colorado,,Fort Collins,2,0,0,0,0,0,2,0,0,0,"164,670"
Colorado,,Fort Lupton,1,0,0,0,0,0,0,1,0,0,"7,903"
Colorado,,Fountain,0,0,1,0,0,0,0,0,0,1,"28,115"
Colorado,,Golden,1,0,0,0,0,0,0,0,1,0,"20,616"
Colorado,,Grand Junction,3,0,0,0,0,0,0,0,3,0,"60,628"
Colorado,,Longmont,3,0,0,0,0,0,0,0,1,2,"93,268"
Colorado,,Loveland,1,0,0,0,0,0,0,0,1,0,"76,936"
Colorado,,Nederland,1,0,0,0,0,0,0,0,1,0,"1,534"
Colorado,,Pueblo,1,0,0,0,0,0,0,0,0,1,"109,927"
Colorado,,Sterling,1,0,0,0,0,0,0,0,0,1,"14,087"
Colorado,Universities and Colleges,,2,3,3,0,0,0,,,,,
Colorado,,Auraria Higher Education Center ,0,0,1,0,0,0,0,1,0,0,
Colorado,,"University of Colorado, Boulder",2,3,1,0,0,0,2,0,2,2,"33,056"
Colorado,,University of Northern Colorado,0,0,1,0,0,0,0,0,1,0,"12,216"
Colorado,Metropolitan Counties,,15,8,3,0,0,0,,,,,
Colorado,,Adams,1,0,0,0,0,0,0,0,1,0,
Colorado,,Arapahoe,2,1,2,0,0,0,0,3,1,1,
Colorado,,Boulder,1,1,0,0,0,0,0,0,0,2,
Colorado,,Douglas,2,0,0,0,0,0,0,0,1,1,
Colorado,,El Paso,1,0,0,0,0,0,1,0,0,0,
Colorado,,Larimer,6,6,1,0,0,0,0,2,1,5,
Colorado,,Mesa,1,0,0,0,0,0,1,0,0,0,
Colorado,,Teller,1,0,0,0,0,0,0,1,0,0,
Colorado,Nonmetropolitan Counties,,3,1,0,0,0,0,,,,,
Colorado,,Custer,1,0,0,0,0,0,0,0,1,0,
Colorado,,Garfield,1,0,0,0,0,0,1,0,0,0,
Colorado,,San Juan,1,0,0,0,0,0,0,0,1,0,
Colorado,,Summit,0,1,0,0,0,0,0,0,0,1,
Connecticut,Total,,62,30,14,0,0,0,,,,,
Connecticut,Cities,,59,27,12,0,0,0,,,,,
Connecticut,,Bloomfield,0,1,1,0,0,0,1,1,0,0,"20,801"
Connecticut,,Bridgeport,5,1,0,0,0,0,0,4,2,0,"148,180"
Connecticut,,Bristol,0,0,2,0,0,0,0,0,1,1,"60,445"
Connecticut,,Clinton,1,0,0,0,0,0,0,0,1,0,"13,008"
Connecticut,,Danbury,3,5,1,0,0,0,1,1,1,6,"85,335"
Connecticut,,Darien,0,1,0,0,0,0,0,0,1,0,"21,995"
Connecticut,,Greenwich,0,1,0,0,0,0,0,0,1,0,"62,970"
Connecticut,,Groton,1,0,0,0,0,0,0,0,0,1,"9,189"
Connecticut,,Groton Town,1,0,0,0,0,0,0,0,1,0,"29,910"
Connecticut,,Guilford,1,0,0,0,0,0,1,0,0,0,"22,343"
Connecticut,,Hartford,5,0,1,0,0,0,2,2,1,1,"123,736"
Connecticut,,Ledyard,0,0,1,0,0,0,0,0,0,1,"15,021"
Connecticut,,Madison,0,1,0,0,0,0,0,0,0,1,"18,212"
Connecticut,,Manchester,6,0,1,0,0,0,1,2,1,3,"57,957"
Connecticut,,Middletown,1,1,0,0,0,0,0,2,0,0,"46,580"
Connecticut,,Naugatuck,1,0,0,0,0,0,0,1,0,0,"31,469"
Connecticut,,New Haven,4,3,2,0,0,0,5,1,0,3,"130,425"
Connecticut,,Newington,1,0,1,0,0,0,1,0,0,1,"30,610"
Connecticut,,New London,0,2,0,0,0,0,2,0,0,0,"27,092"
Connecticut,,Norwalk,5,2,0,0,0,0,1,5,0,1,"88,989"
Connecticut,,Norwich,1,0,0,0,0,0,1,0,0,0,"39,771"
Connecticut,,Old Saybrook,1,0,0,0,0,0,0,0,0,1,"10,145"
Connecticut,,Ridgefield,0,1,0,0,0,0,0,0,0,1,"25,358"
Connecticut,,Rocky Hill,0,1,0,0,0,0,0,0,0,1,"20,085"
Connecticut,,Shelton,0,1,0,0,0,0,0,0,0,1,"41,638"
Connecticut,,Southington,1,0,0,0,0,0,0,1,0,0,"43,948"
Connecticut,,Stamford,5,1,2,0,0,0,4,2,1,1,"130,116"
Connecticut,,Stratford,1,0,0,0,0,0,0,1,0,0,"52,841"
Connecticut,,Torrington,1,2,0,0,0,0,0,1,1,1,"34,626"
Connecticut,,Trumbull,1,0,0,0,0,0,1,0,0,0,"36,741"
Connecticut,,Vernon,1,0,0,0,0,0,0,0,0,1,"28,915"
Connecticut,,Wallingford,1,0,0,0,0,0,0,0,1,0,"44,840"
Connecticut,,Waterbury,6,0,0,0,0,0,2,3,0,1,"108,491"
Connecticut,,Waterford,0,1,0,0,0,0,0,0,1,0,"19,236"
Connecticut,,West Hartford,1,1,0,0,0,0,0,0,0,2,"62,979"
Connecticut,,Westport,2,0,0,0,0,0,0,2,0,0,"28,198"
Connecticut,,Wethersfield,1,0,0,0,0,0,1,0,0,0,"26,306"
Connecticut,,Willimantic,1,0,0,0,0,0,0,0,1,0,"17,766"
Connecticut,,Woodbridge,0,1,0,0,0,0,0,0,1,0,"8,864"
Connecticut,Universities and Colleges,,0,1,1,0,0,0,,,,,
Connecticut,,Southern Connecticut State University,0,1,1,0,0,0,1,0,1,0,"10,473"
Connecticut,State Police Agencies,,2,2,1,0,0,0,,,,,
Connecticut,,Connecticut State Police,2,2,1,0,0,0,0,1,3,1,
Connecticut,Tribal Agencies,,1,0,0,0,0,0,,,,,
Connecticut,,Mashantucket Pequot Tribal,1,0,0,0,0,0,0,0,0,1,
Delaware,Total,,11,3,1,0,0,0,,,,,
Delaware,Cities,,3,1,0,0,0,0,,,,,
Delaware,,Camden,1,0,0,0,0,0,0,0,0,1,"3,512"
Delaware,,Newark,1,0,0,0,0,0,0,0,0,1,"34,297"
Delaware,,Rehoboth Beach,1,0,0,0,0,0,1,0,0,0,"1,485"
Delaware,,Smyrna,0,1,0,0,0,0,0,1,0,0,"11,573"
Delaware,Metropolitan Counties,,3,1,0,0,0,0,,,,,
Delaware,,New Castle County Police Department,3,1,0,0,0,0,1,0,2,1,
Delaware,State Police Agencies,,3,1,1,0,0,0,,,,,
Delaware,,State Police:,,,,,,,,,,,
Delaware,,Kent County,1,0,0,0,0,0,0,0,1,0,
Delaware,,New Castle County,2,1,1,0,0,0,1,2,0,1,
Delaware,Other Agencies,,2,0,0,0,0,0,,,,,
Delaware,,Park Rangers,2,0,0,0,0,0,0,0,0,2,
District of Columbia,Total,,33,18,42,2,0,20,,,,,
District of Columbia,Cities,,26,18,40,1,0,19,,,,,
District of Columbia,,Washington,26,18,40,1,0,19,20,35,25,24,"681,170"
District of Columbia,Other Agencies,,7,0,2,1,0,1,,,,,
District of Columbia,,Metro Transit Police,7,0,2,1,0,1,0,4,3,4,
Florida,Total,,43,19,32,1,0,1,,,,,
Florida,Cities,,27,14,23,1,0,0,,,,,
Florida,,Arcadia,1,0,0,0,0,0,,,1,,"7,893"
Florida,,Cape Coral,1,0,0,0,0,0,,,,1,"179,631"
Florida,,Casselberry,0,1,0,0,0,0,,,1,,"27,220"
Florida,,Cocoa,0,0,1,0,0,0,1,,,,"17,825"
Florida,,Coral Gables,1,0,0,0,0,0,1,,,,"51,980"
Florida,,Davie,3,1,1,0,0,0,2,3,,,"102,692"
Florida,,Fort Myers,2,0,1,0,0,0,1,,1,1,"76,579"
Florida,,Gainesville,4,0,0,0,0,0,1,,,3,"131,242"
Florida,,Homestead,1,0,1,0,0,0,2,,,,"67,700"
Florida,,Largo,1,0,1,0,0,0,,1,,1,"81,402"
Florida,,Miami Beach,0,4,12,1,0,0,6,4,4,3,"93,165"
Florida,,New Port Richey,2,0,0,0,0,0,,2,,,"16,038"
Florida,,North Miami,0,0,1,0,0,0,,1,,,"62,974"
Florida,,North Miami Beach,0,2,0,0,0,0,,2,,,"44,442"
Florida,,Oakland Park,0,0,1,0,0,0,,1,,,"44,903"
