City,State,Station Identifier,AM/FM Number,AM/FM Number
Charlotte,North Carolina,WFAE,FM,90.7
Davidson,North Carolina,WDAV,FM,89.9
Durham,North Carolina,WNCU,FM,90.7
Fayetteville,North Carolina,WFSS,FM,91.9
Franklin,North Carolina,WFQS,FM,91.3
Hickory,North Carolina,WFHE,FM,90.3
Kingston,North Carolina,WKNS,FM,90.5
Manteo,North Carolina,WURI,FM,91.5
New Bern,North Carolina,WTEB,FM,89.3
Roanoke Rapids,North Carolina,WZRU,FM,88.5
Rocky Mount,North Carolina,WRQM,FM,90
Spindale,North Carolina,WNCW,FM,88.7
Wilmington,North Carolina,WHQR,FM,91.3
Winston-Salem,North Carolina,WFDD,FM,88.5
Belcourt,North Dakota,KEYA,FM,88.5
Bismarck,North Dakota,KCND,FM,90.5
Dickinson,North Dakota,KDPR,FM,89.9
Fargo,North Dakota,KDSU,FM,91.9
Grand Forks,North Dakota,KUND,FM,89.3
Jamestown,North Dakota,KPRJ,FM,91.5
Minot,North Dakota,KMPR,FM,88.9
Williston,North Dakota,KPPR,FM,89.5
Athens,Ohio,WOUB,AM,1340
Athens,Ohio,WOUB,FM,91.3
Bryan,Ohio,WGBE,FM,90.9
Cambridge,Ohio,WOUC,FM,89.1
Chillicothe,Ohio,WOUH,FM,91.9
Chillicothe,Ohio,WVXC,FM,89.3
Cincinnati,Ohio,WGUC,FM,90.9
Cincinnati,Ohio,WVXU,FM,91.7
Cleveland,Ohio,WCPN,FM,90.3
Columbus,Ohio,WCBE,FM,90.5
Columbus,Ohio,WOSU,AM,820
Coshocton,Ohio,WOSE,FM,91.1
Dayton,Ohio,WDPR,FM,88.1
Defiance,Ohio,WGDE,FM,91.9
Ironton,Ohio,WOUL,FM,89.1
Kent,Ohio,WKSU,FM,89.7
Lima,Ohio,WGLE,FM,90.7
Mansfield,Ohio,WOSV,FM,91.7
Marion,Ohio,WOSB,FM,91.1
Mt. Gilead,Ohio,WVXG,FM,95.1
New Philadelphia,Ohio,WKRJ,FM,91.5
Oxford,Ohio,WMUB,FM,88.5
Portsmouth,Ohio,WOSP,FM,91.5
Thompson,Ohio,WSKV,FM,89.1
Toledo,Ohio,WGTE,FM,91.3
West Union,Ohio,WVXW,FM,89.5
Wooster,Ohio,WKRW,FM,89.3
Yellow Springs,Ohio,WYSO,FM,91.3
Youngstown,Ohio,WYSU,FM,88.5
Zanesville,Ohio,WOUZ,FM,90.1
Ardmore,Oklahoma,KLCU,FM,90.3
Lawton,Oklahoma,KCCU,FM,89.3
Norman,Oklahoma,KGOU,FM,106.3
Oklahoma City,Oklahoma,KROU,FM,105.7
Stillwater,Oklahoma,KOSU,FM,91.7
Tulsa,Oklahoma,KWGS,FM,89.5
Ashland,Oregon,KAGI,AM,930
Ashland,Oregon,KSJK,AM,1230
Ashland,Oregon,KSMF,FM,89.1
Ashland,Oregon,KSRG,FM,88.3
Ashland,Oregon,KSOR,FM,90.1
Astoria,Oregon,KMUN,FM,91.9
Bend,Oregon,KOAB,FM,91.3
Coos Bay,Oregon,KSBA,FM,88.5
Corvallis,Oregon,KOAC,AM,550
Eugene,Oregon,KLCC,FM,89.7
