,Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
346,501,Ohio,Thompson,,WSKV,FM,89.1,@wskv,,Twitter,left_only,Emptyatload
349,912,Ohio,Columbus,Columbus,WOSU,FM,89.7,@wosu,,Twitter,right_only,Emptyatload
356,917,Oklahoma,Altus,Altus,KOCU,FM,90.1,@kucofm,,Twitter,right_only,Emptyatload
358,919,Oklahoma,Ketchum,Ketchum,KOSN,FM,107.5,@kosuradio,,Twitter,right_only,Emptyatload
359,920,Oklahoma,Tulsa,Tulsa,KWTU,FM,88.7,@kwgsnews,,Twitter,right_only,Emptyatload
360,921,Oklahoma,Woodward,Woodward,KWOU,FM,88.1,@kwouonline,,Twitter,right_only,Emptyatload
361,514,Oregon,Ashland,Ashland,KAGI,AM,930.0,@jprnews,,Twitter,both,Emptyatload
362,515,Oregon,Ashland,Ashland,KSJK,AM,1230.0,@jprnews,,Twitter,both,Emptyatload
363,516,Oregon,Ashland,Ashland,KSMF,FM,89.1,@jprnews,,Twitter,both,Emptyatload
364,517,Oregon,Ashland,Ashland,KSRG,FM,88.3,@jprnews,,Twitter,both,Emptyatload
365,518,Oregon,Ashland,Ashland,KSOR,FM,90.1,@jprnews,,Twitter,both,Emptyatload
366,519,Oregon,Astoria,Astoria,KMUN,FM,91.9,@coastradio,,Twitter,both,Emptyatload
367,520,Oregon,Bend,Bend,KOAB,FM,91.3,@opb,,Twitter,both,Emptyatload
368,521,Oregon,Coos Bay,Coos Bay,KSBA,FM,88.5,@ksbanews,,Twitter,both,Emptyatload
369,522,Oregon,Corvallis,Corvallis,KOAC,AM,550.0,@opb,,Twitter,both,Emptyatload
370,524,Oregon,Eugene,Eugene,KRVM,AM,1280.0,@91krvm,,Twitter,both,Emptyatload
371,525,Oregon,Florence,Florence,KLFO,FM,88.1,@klcceugeneor,,Twitter,both,Emptyatload
372,527,Oregon,Klamath Falls,Klamath Falls,KSKF,FM,90.9,@jprnews,,Twitter,both,Emptyatload
373,528,Oregon,Newport,Newport,KLCO,FM,90.5,@klcceugeneor,,Twitter,both,Emptyatload
375,530,Oregon,Portland,Portland,KOPB,FM,91.5,@opb,,Twitter,both,Emptyatload
378,922,Oregon,Eugene,Eugene,KOPB,AM,1600.0,@opb,,Twitter,right_only,Emptyatload
379,923,Oregon,Klamath Falls,Klamath Falls,KLMF,FM,88.5,@jprnews,,Twitter,right_only,Emptyatload
381,925,Oregon,Roseburg,Roseburg,KTBR,AM,950.0,@jprnews,,Twitter,right_only,Emptyatload
383,927,Oregon,Tillamook,Tillamook,KTCB,FM,89.5,@coastradio,,Twitter,right_only,Emptyatload
384,928,Oregon,Warrenton,Warrenton,KCPB,FM,90.9,@coastradio,,Twitter,right_only,Emptyatload
390,929,Pennsylvania,Kane,Kane,WPSX,FM,90.1,@wpsu,,Twitter,right_only,Emptyatload
391,930,Pennsylvania,Middletown,Middletown,WXPH,FM,88.7,@wxpnfm,,Twitter,right_only,Emptyatload
392,931,Pennsylvania,Pittsburgh,Pittsburgh,WESA,FM,90.5,@905wesa,,Twitter,right_only,Emptyatload
393,932,Pennsylvania,Williamsport,Williamsport,WVYA,FM,89.7,@wviatvfm,,Twitter,right_only,Emptyatload
394,552,Rhode Island,North Providence,,WRNI,AM,1290.0,@ripr,,Twitter,left_only,Emptyatload
395,553,Rhode Island,Westerly,,WXNI,AM,1230.0,@ripr,,Twitter,left_only,Emptyatload
397,934,Rhode Island,South Coast of Massachusetts and Narragansett Bay communities,South Coast of Massachusetts and Narragansett Bay communities,WXNI,FM,89.3,@ripr,,Twitter,right_only,Emptyatload
398,935,Rhode Island,Coventry and central RI,Coventry and central RI,WCVY,FM,91.5,@wcvy915,,Twitter,right_only,Emptyatload
